cycle,branch,forecastdate,district,candidateA,candidateB,displaystep,description,margin,lite_weight,classic_weight,deluxe_weight,simulations,timestamp
2022,House,11/8/22,WY-1,Lynnette GreyBull,Harriet Hageman,4,Expert ratings adjusted for national environment,-45.92889,0,0,1.194064,40000,00:12:39  8 Nov 2022
2022,House,11/8/22,WY-1,Lynnette GreyBull,Harriet Hageman,3,Fundamentals (non-polling factors),-50.31908,0,1.284435,1.284435,40000,00:12:39  8 Nov 2022
2022,House,11/8/22,WY-1,Lynnette GreyBull,Harriet Hageman,2,CANTOR (analysis of comparable disticts),-27.16343,.8358126,.1545999,.1545999,40000,00:12:39  8 Nov 2022
2022,House,11/8/22,WY-1,Lynnette GreyBull,Harriet Hageman,1,Polls adjusted for house effects & other factors,-39.31851,.9550347,.9550347,.9550347,40000,00:12:39  8 Nov 2022
2022,House,11/8/22,WV-2,Barry Lee Wendell,Alexander X. Mooney,4,Expert ratings adjusted for national environment,-34.40892,0,0,.7177314,40000,00:12:39  8 Nov 2022
2022,House,11/8/22,WV-2,Barry Lee Wendell,Alexander X. Mooney,3,Fundamentals (non-polling factors),-32.23275,0,1.284435,1.284435,40000,00:12:39  8 Nov 2022
2022,House,11/8/22,WV-2,Barry Lee Wendell,Alexander X. Mooney,2,CANTOR (analysis of comparable disticts),-37.78152,.8358126,.1545999,.1545999,40000,00:12:39  8 Nov 2022
2022,House,11/8/22,WV-2,Barry Lee Wendell,Alexander X. Mooney,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:12:39  8 Nov 2022
2022,House,11/8/22,WV-1,Lacy Watson,Carol Miller,4,Expert ratings adjusted for national environment,-44.26591,0,0,.7177314,40000,00:12:39  8 Nov 2022
2022,House,11/8/22,WV-1,Lacy Watson,Carol Miller,3,Fundamentals (non-polling factors),-43.35241,0,1.284435,1.284435,40000,00:12:39  8 Nov 2022
2022,House,11/8/22,WV-1,Lacy Watson,Carol Miller,2,CANTOR (analysis of comparable disticts),-37.93439,.8358126,.1545999,.1545999,40000,00:12:39  8 Nov 2022
2022,House,11/8/22,WV-1,Lacy Watson,Carol Miller,1,Polls adjusted for house effects & other factors,,0,0,0,40000,00:12:39  8 Nov 2022
2022,House,11/8/22,WI-8,All others,Mike Gallagher,4,Expert ratings adjusted for national environment,-60.26955,0,0,.7177314,40000,00:12:39  8 Nov 2022
2022,House,11/8/22,WI-8,All others,Mike Gallagher,3,Fundamentals (non-polling factors),-60.26955,1.439034,1.439034,1.439034,40000,00:12:39  8 Nov 2022
2022,House,11/8/22,WI-8,All others,Mike Gallagher,2,CANTOR (analysis of comparable disticts),,0,0,0,40000,00:12:39  8 Nov 2022
