district,net,D,D vote,R,R vote
WY-G1,-46.9,Theresa A. Livingston,25.5,Mark Gordon,72.3
ID-G1,-36.2,Stephen Heidt,28.2,Brad Little,64.4
AL-G1,-32.9,Yolanda Rochelle Flowers,32.1,Kay Ivey,64.9
VT-G1,-28.4,Brenda Siegel,32.9,Phil Scott,61.2
TN-G1,-25.9,Jason Brantley Martin,30.7,Bill Lee,56.7
OH-G1,-21.4,Nan Whaley,39.3,Mike DeWine,60.7
AR-G1,-21.1,Chris Jones,37.8,Sarah Huckabee Sanders,58.9
SD-G1,-20.9,Jamie Smith,38.5,Kristi Noem,59.4
IA-G1,-19.0,Deidre DeJear,39.5,Kim Reynolds,58.5
NH-G1,-17.6,Tom Sherman,40.1,Chris Sununu,57.7
AK-G1,-17.3,Les Gara,29.3,Mike Dunleavy,41.9
NE-G1,-17.1,Carol Blood,40.5,Jim Pillen,57.6
SC-G1,-15.8,Joe Cunningham,41.2,Henry McMaster,57.0
FL-G1,-13.4,Charlie Crist,42.3,Ron DeSantis,55.8
TX-G1,-11.9,Beto O'Rourke,43.0,Greg Abbott,54.9
OK-G1,-9.9,Joy Hofmeister,43.4,Kevin Stitt,53.2
GA-G1,-8.2,Stacey Abrams,45.2,Brian Kemp,53.4
AZ-G1,-2.2,Katie Hobbs,48.9,Kari Lake,51.1
NV-G1,-1.6,Steve Sisolak,47.9,Joe Lombardo,49.6
WI-G1,-0.4,Tony Evers,49.1,Tim Michels,49.5
OR-G1,1.9,Tina Kotek,44.3,Christine Drazan,42.3
KS-G1,1.9,Laura Kelly,49.5,Derek Schmidt,47.6
NM-G1,5.6,Michelle Lujan Grisham,51.7,Mark V. Ronchetti,46.1
MI-G1,5.8,Gretchen Whitmer,51.3,Tudor M. Dixon,45.5
ME-G1,7.1,Janet T. Mills,52.6,Paul R. LePage,45.5
MN-G1,8.9,Tim Walz,52.4,Scott Jensen,43.5
NY-G1,9.5,Kathy C. Hochul,54.8,Lee M. Zeldin,45.2
PA-G1,9.8,Josh Shapiro,54.0,Douglas V. Mastriano,44.2
RI-G1,14.6,Daniel J. McKee,55.2,Ashley Kalus,40.6
CT-G1,15.2,Edward Lamont,56.7,Robert Stefanowski,41.5
CO-G1,16.0,Jared Polis,56.4,Heidi Ganahl,40.4
IL-G1,17.9,J.B. Pritzker,57.9,Darren Bailey,40.0
CA-G1,21.4,Gavin Newsom,60.7,Brian Dahle,39.3
MA-G1,22.4,Maura Healey,60.2,Geoff Diehl,37.8
MD-G1,22.8,Wes Moore,59.7,Dan Cox,37.0
HI-G1,25.8,Josh Green,62.9,Duke Aiona,37.1
