district,net,D,D vote,R,R vote
TX-11,-100.0,,0.0,August Pfluger,100.0
LA-6,-100.0,,0.0,Garret Graves,70.3
PA-13,-100.0,,0.0,John Joyce,100.0
LA-4,-100.0,,0.0,“Mike” Johnson,100.0
WI-6,-100.0,,0.0,Glenn Grothman,100.0
TX-25,-100.0,,0.0,Roger Williams,100.0
TX-6,-100.0,,0.0,Jake Ellzey,100.0
TX-31,-100.0,,0.0,John Carter,100.0
AZ-8,-100.0,,0.0,Debbie Lesko,100.0
AZ-9,-100.0,,0.0,Paul Gosar,100.0
SC-3,-100.0,,0.0,Jeff Duncan,100.0
SC-4,-100.0,,0.0,William Timmons,100.0
FL-5,-100.0,,0.0,John Rutherford,100.0
PA-14,-100.0,,0.0,Guy Reschenthaler,100.0
TX-19,-88.3,,0.0,Jodey C. Arrington,88.3
AL-6,-85.3,,0.0,Gary Palmer,85.3
SD-1,-84.6,,0.0,Dusty Johnson,84.6
AL-1,-84.5,,0.0,Jerry Carl,84.5
FL-18,-84.1,,0.0,Scott Franklin,84.1
FL-6,-83.8,,0.0,Michael Waltz,83.8
TX-26,-83.6,,0.0,Michael C. Burgess,83.6
WI-8,-80.1,,0.0,Mike Gallagher,80.1
AL-4,-66.4,Rick Neighbors,15.2,Robert Aderholt,81.6
KY-5,-65.8,Conor Halbleib,17.1,Harold “Hal” Rogers,82.9
ND-1,-63.0,,0.0,Kelly Armstrong,63.0
TN-1,-61.3,Cameron Parsons,17.5,Diana Lynn Harshbarger,78.7
NE-3,-60.2,David J. Else,17.9,Adrian Smith,78.1
MO-8,-58.2,Randi McCallian,19.2,Jason Smith,77.4
OK-2,-55.6,Naomi Andrews,20.1,Josh Brecheen,75.7
OK-3,-54.6,Jeremiah A. Ross,22.7,Frank D. Lucas,77.3
TX-1,-53.4,Jrmar “JJ” Jefferson,23.3,Nathaniel Moran,76.7
GA-9,-51.9,Michael “Mike” Ford,24.0,Andrew Clyde,76.0
VA-9,-50.8,Taysha Lee DeVaughan,24.6,H. Morgan Griffith,75.4
KY-1,-50.7,Jimmy C. Ausbrooks,24.7,James R. Comer,75.3
LA-3,-48.9,Tia Lebrun,16.3,Clay Higgins,33.8
MO-7,-48.7,Kristen Radaker-Sheafer,23.7,Eric Burlison,72.4
AR-1,-48.6,Monte Hodges,25.7,Rick Crawford,74.3
OH-2,-48.5,Samantha Meadows,25.8,Brad Wenstrup,74.2
TN-8,-47.6,Lynnette P. Williams,24.4,David Kustoff,72.0
IL-15,-47.1,Paul J. Lange,26.4,Mary Miller,73.6
MO-4,-46.9,Jack Truman,24.6,Mark Alford,71.5
IL-12,-46.8,Homer “Chip” Markel,26.6,Mike Bost,73.4
ID-1,-46.8,Kaylee Peterson,24.3,Russ Fulcher,71.0
PA-15,-46.6,Michael Molesevich,26.7,Glenn “GT” Thompson,73.3
PA-9,-46.4,Amanda R. Waldman,26.8,Dan Meuser,73.2
TX-13,-46.4,Kathleen Brown,26.8,Ronny Jackson,73.2
KY-2,-45.3,Hank Linderman,27.3,S. Brett Guthrie,72.7
AL-3,-45.3,Lin Veasey,25.7,Mike Rogers,71.0
AR-4,-45.2,John White,25.6,Bruce Westerman,70.8
TN-4,-45.1,Wayne Steele,25.1,Scott DesJarlais,70.2
WY-1,-45.0,Lynnette GreyBull,24.5,Harriet Hageman,69.5
TN-6,-44.8,Randal Cooper,27.6,John Rose,72.4
LA-1,-44.5,Kate Darling,26.2,Steve Scalise,70.8
TX-36,-44.3,Jon Haire,27.8,Brian Babin,72.2
OK-4,-44.1,Mary Brannon,27.9,Tom Cole,72.1
MO-6,-44.1,Henry Martin,26.3,Sam Graves,70.4
OH-4,-43.9,Tamie Wilson,28.0,Jim Jordan,72.0
MS-4,-43.9,Johnny L. DuPree,26.4,Mike Ezell,70.3
KS-1,-43.3,James “Jimmy” Beard,28.3,Tracey Mann,71.7
WV-1,-43.3,Lacy Watson,26.8,Carol Miller,70.1
GA-14,-43.2,Marcus Flowers,28.4,Marjorie Taylor Greene,71.6
MS-1,-42.7,Dianne Black,28.7,Trent Kelly,71.3
TN-3,-41.9,Meg Gorman,27.3,Chuck Fleischmann,69.2
OH-6,-41.9,Louis G. Lyras,29.0,Bill Johnson,71.0
