district,net,D,D vote,R,R vote
AK-1,1.0,Mary S. Peltola,47.8,Sarah Palin,24.8
AZ-2,-2.7,Tom O'Halleran,48.7,Eli Crane,51.3
AZ-4,9.6,Greg Stanton,54.8,Kelly Cooper,45.2
AZ-6,-9.4,Kirsten Engel,45.3,Juan Ciscomani,54.7
CA-13,2.9,Adam Gray,51.4,John Duarte,48.6
CA-22,-1.9,Rudy Salas,49.0,David G. Valadao,51.0
CA-27,-2.1,Christy Smith,49.0,Mike Garcia,51.0
CA-45,-6.4,Jay F. Chen,46.8,Michelle Steel,53.2
CA-47,6.1,Katie Porter,53.1,Scott Baugh,46.9
CA-49,5.0,Mike Levin,52.5,Brian Maryott,47.5
CA-9,6.5,Josh Harder,53.2,Tom Patti,46.8
CO-7,7.2,Brittany Pettersen,51.4,Erik Aadland,44.1
CO-8,-8.0,Yadira Caraveo,44.1,Barbara Kirkmeyer,52.2
CT-5,1.5,Jahana Hayes,50.8,George Logan,49.2
FL-13,-9.6,Eric Lynn,43.8,Anna Paulina Luna,53.4
FL-27,-9.9,Annette Taddeo,45.1,María Elvira Salazar,54.9
GA-2,7.8,Sanford Bishop,53.9,Chris West,46.1
IA-2,-9.6,Liz Mathis,45.2,Ashley Hinson,54.8
IA-3,-1.0,Cindy Axne,49.5,Zach Nunn,50.5
IL-13,7.0,Nikki Budzinski,53.5,Regan Deering,46.5
IL-14,5.3,Lauren Underwood,52.7,Scott R. Gryder,47.3
IL-17,1.8,Eric Sorensen,50.9,Esther Joy King,49.1
IL-6,3.2,Sean Casten,51.6,Keith Pekau,48.4
IN-1,7.9,Frank J. Mrvan,54.0,Jennifer-Ruth Green,46.0
KS-3,6.0,Sharice Davids,51.6,Amanda L. Adkins,45.6
MD-6,3.5,David J. Trone,51.8,Neil C. Parrott,48.2
ME-2,2.9,Jared Forrest Golden,49.7,Bruce Poliquin,46.8
MI-10,-4.9,Carl J. Marlinga,45.5,John James,50.4
MI-3,1.4,Hillary Scholten,48.7,John Gibbs,47.3
MI-7,2.2,Elissa Slotkin,49.8,Tom Barrett,47.6
MI-8,5.7,Daniel T. Kildee,51.3,Paul Junge,45.6
MN-2,4.9,Angie Craig,51.0,Tyler Kistner,46.1
NC-13,-4.2,Wiley Nickel,47.9,Bo Hines,52.1
NE-2,-8.3,Tony Vargas,45.9,Don Bacon,54.1
NH-1,2.6,Chris Pappas,51.3,Karoline Leavitt,48.7
NH-2,8.9,Ann McLane Kuster,54.5,Robert Burns,45.5
NJ-3,6.7,Andy Kim,51.7,Bob Healey,45.0
NJ-7,-3.6,Tom Malinowski,48.2,Thomas H. Kean Jr.,51.8
NM-2,-4.8,Gabriel Vasquez,47.6,Yvette Herrell,52.4
NV-1,0.5,Dina Titus,49.0,Mark Robertson,48.4
NV-3,1.7,Susie Lee,50.8,April Becker,49.2
NV-4,5.8,Steven A. Horsford,52.9,Sam Peters,47.1
NY-1,-5.3,Bridget Fleming,47.3,Nicholas J. LaLota,52.7
NY-17,3.2,Sean Patrick Maloney,51.6,Michael V. Lawler,48.4
NY-18,3.9,Pat Ryan,52.0,Colin J. Schmitt,48.0
NY-19,1.2,Josh Riley,50.6,Marcus Molinaro,49.4
NY-22,-2.1,Francis Conole,49.0,Brandon M. Williams,51.0
NY-3,3.2,Robert P. Zimmerman,51.6,George A.D. Santos,48.4
NY-4,5.6,Laura A. Gillen,52.8,Anthony P. D'Esposito,47.2
OH-1,-5.8,Greg Landsman,47.1,Steve Chabot,52.9
OH-13,-5.1,Emilia Sykes,47.5,Madison Gesiotto Gilbert,52.5
OH-9,4.9,Marcy Kaptur,52.5,J.R. Majewski,47.5
OR-4,7.0,Val Hoyle,50.9,Alek Skarlatos,43.9
OR-5,-1.2,Jamie McLeod-Skinner,49.4,Lori Chavez-DeRemer,50.6
OR-6,3.7,Andrea Salinas,49.5,Mike Erickson,45.8
PA-17,0.6,Chris Deluzio,50.3,Jeremy Shaffer,49.7
PA-7,-0.8,Susan Wild,49.6,Lisa Scheller,50.4
PA-8,1.4,Matt Cartwright,50.7,Jim Bognet,49.3
RI-2,0.7,Seth M. Magaziner,48.6,Allan W. Fung,47.9
TX-15,0.8,Michelle Vallejo,48.9,Monica De La Cruz,48.1
TX-28,5.4,Henry Cuellar,52.7,Cassy Garcia,47.3
TX-34,-0.3,Vicente Gonzalez,48.6,Mayra Flores,48.9
VA-10,9.9,Jennifer T. Wexton,55.0,Hung Cao,45.0
VA-2,-0.3,Elaine G. Luria,49.8,Jen A. Kiggans,50.2
VA-7,3.2,Abigail A. Spanberger,51.6,Yesli I. Vega,48.4
WA-8,3.5,Kim Schrier,51.8,Matt Larkin,48.2
WI-3,-6.3,Brad Pfaff,46.8,Derrick Van Orden,53.2
