district,net,D,D vote,R,R vote
AK-S3,-54.7,Patricia R. Chesbro,22.7,Lisa Murkowski,37.1
ND-S3,-45.1,Katrina Christiansen,25.1,John Hoeven,70.2
ID-S3,-38.9,David Roth,27.2,Mike Crapo,66.1
SD-S3,-31.8,Brian L. Bengs,32.4,John R. Thune,64.2
AL-S3,-30.8,Will Boyd,33.3,Katie Britt,64.2
AR-S3,-28.8,Natalie James,33.7,John Boozman,62.5
OK-S3,-26.3,Madison Horn,35.5,James Lankford,61.8
SC-S3,-24.6,Krystle Matthews,37.7,Tim Scott,62.3
KY-S3,-23.9,Charles Booker,38.0,Rand Paul,62.0
KS-S3,-22.6,Mark R. Holland,37.2,Jerry Moran,59.9
OK-S2,-21.6,Kendra Horn,38.0,Markwayne Mullin,59.5
LA-S3,-21.5,Gary Chambers,9.5,John Kennedy,43.4
IN-S3,-16.9,Thomas McDermott,40.0,Todd Young,56.9
MO-S3,-16.5,Trudy Busch Valentine,40.6,Eric Schmitt,57.1
UT-S3,-13.5,,0.0,Mike Lee,52.5
IA-S3,-12.7,Michael Franken,43.6,Chuck Grassley,56.4
FL-S3,-9.8,Val Demings,44.2,Marco Rubio,54.0
OH-S3,-6.3,Tim Ryan,46.8,J.D. Vance,53.2
WI-S3,-4.8,Mandela Barnes,47.6,Ron Johnson,52.4
NC-S3,-4.8,Cheri Beasley,46.7,Ted Budd,51.5
GA-S3,-1.2,Raphael Warnock,48.7,Herschel Junior Walker,49.9
PA-S3,-0.9,John Fetterman,48.5,Mehmet Oz,49.5
NV-S3,-0.2,Catherine Cortez Masto,48.6,Adam Paul Laxalt,48.8
AZ-S3,2.2,Mark Kelly,50.2,Blake Masters,48.0
NH-S3,3.6,Maggie Hassan,50.9,Donald C. Bolduc,47.4
CO-S3,8.0,Michael Bennet,52.5,Joe O'Dea,44.5
WA-S3,8.7,Patty Murray,54.3,Tiffany Smiley,45.7
CT-S3,16.8,Richard Blumenthal,58.4,Leora R. Levy,41.6
IL-S3,17.0,Tammy Duckworth,57.4,Kathy Salvi,40.4
OR-S3,17.8,Ron Wyden,57.2,Jo Rae Perkins,39.3
NY-S3,18.9,Charles E. Schumer,58.6,Joe Pinion,39.7
CA-S3,22.4,Alex Padilla,61.2,Mark P. Meuser,38.8
MD-S3,25.6,Chris Van Hollen,62.8,Chris Chaffee,37.2
VT-S3,25.7,Peter Welch,60.2,Gerald Malloy,34.5
HI-S3,35.9,Brian Schatz,65.7,Bob McDermott,29.7
